Model,IoU,IoU_Std,Alpha,Alpha_Std,CombLoss,Miss
redet_r50_0.08,0.8614,0.06,5.7295,12.91,254.6855,0
redet_r50_0.04,0.8588,0.07,6.1178,13.8,253.6485,0
redet_r50_0.02,0.8568,0.07,6.4718,14.13,252.7368,0
redet_r50_0.008,0.8513,0.07,6.9674,14.51,251.1978,0
roi_trans_r50_0.04,0.8546,0.06,7.3638,14.48,250.7343,0
roi_trans_r50_0.02,0.8482,0.07,7.7741,14.52,249.2673,0
redet_r50_0.004,0.8424,0.07,7.7861,14.46,248.6669,0
roi_trans_r50_0.008,0.839,0.07,8.8002,14.77,246.3036,0
rotated_retinanet_r50_0.008,0.8193,0.1,7.9624,14.59,246.0087,0
rotated_retinanet_r50_0.004,0.8168,0.1,8.0347,14.58,245.6061,0
rotated_retinanet_r50_0.02,0.8132,0.1,8.7148,15.16,243.8898,0
roi_trans_r50_0.004,0.8274,0.08,9.8266,14.91,243.0847,4
rotated_retinanet_r50_0.04,0.6373,0.33,12.8535,17.6,218.0246,0
roi_trans_r50_0.08,0.1091,0.91,4.1864,12.03,182.5356,3538
rotated_retinanet_r50_0.08,-0.3992,0.49,16.5618,20.56,106.9562,3530
